County,Address,Building City,Building State,Building ZIP,Building Footprint,Building Footprint Sq Ft,Parcel Number,Year Built,Effective Year Built,Property Use,Stories,Land Area,Construction Type,Tax District,Land Value,Primary Aerial Source,Primary Aerial Image URL,Primary Aerial Photo Date,Primary Aerial Image File,Primary Aerial QA Status,Primary Aerial QA Reason,Primary Aerial QA Blank,Primary Aerial QA Width,Primary Aerial QA Height,Primary Aerial QA Brightness,Primary Aerial QA Contrast,Denver GIS Aerial Image URL,Denver GIS Aerial Photo Date,Denver GIS Aerial Image File
Adams,5501 BRIGHTON BLVD,COMMERCE CITY,CO,80022,"POLYGON ((3153895.1707500098273158 1717526.2392500001005828, 3153892.0857500000856817 1716640.8502500099129975, 3153871.4912499901838601 1716640.9222500000614673, 3153871.1347499899566174 1716538.5182499999646097, 3153671.8287499998696148 1716539.2127499999478459, 3153674.2715000100433826 1716635.4712499999441206, 3153674.6212499998509884 1716649.2624999999534339, 3153695.0505000101402402 1716649.1912499999161810, 3153695.3300000000745058 1716729.3984999998938292, 3153659.4615000002086163 1716729.5234999998938292, 3153659.5632500099018216 1716758.6999999999534339, 3153675.4802500000223517 1716758.6442500099074095, 3153675.6627500099129975 1716810.9517500000074506, 3153645.7812500000000000 1716811.0557500000577420, 3153646.5725000100210309 1717038.1927500099409372, 3153794.2144999997690320 1717037.6782500001136214, 3153794.3897500000894070 1717087.9372499999590218, 3153769.7669999999925494 1717088.0232500000856817, 3153769.6932500000111759 1717066.8499999900814146, 3153635.4187500001862645 1717067.3177500099409372, 3153641.6535000097937882 1717108.8684999900870025, 3153634.8174999998882413 1717108.8919999999925494, 3153634.8567499998025596 1717120.1277499899733812, 3153571.6149999899789691 1717120.3479999999981374, 3153567.2675000000745058 1717096.7464999998919666, 3153537.7012499999254942 1717096.8495000000111759, 3153537.6667499998584390 1717086.9367499900981784, 3153491.9490000000223517 1717087.0962499999441206, 3153343.5370000000111759 1717138.4000000099185854, 3153364.4767499999143183 1717275.9620000000577420, 3153290.9399999999441206 1717287.7649999998975545, 3153301.5285000097937882 1717336.8160000001080334, 3153747.6277499902062118 1717266.3404999999329448, 3153748.5352499899454415 1717526.7500000000000000, 3153895.1707500098273158 1717526.2392500001005828))",41571,0182512304004,,,Commercial Mega Warehouse,,1.89,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11683611.368%2C4836701.471%2C-11683096.056%2C4837370.195&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20250906,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0182512304004-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,150.90,55.21,,,
Adams,5455 BRIGHTON BLVD,COMMERCE CITY,CO,80022,"POLYGON ((3152870.4510000101290643 1715255.5062499900814146, 3152497.1839999998919666 1715254.9807499900925905, 3152497.1345000001601875 1715290.4192500000353903, 3152485.6515000001527369 1715290.3927499901037663, 3152485.6487500099465251 1715292.4189999999944121, 3152485.5534999999217689 1715358.8912500001024455, 3152497.4777500000782311 1715358.9077500000130385, 3152497.4654999999329448 1715367.7427499999757856, 3152623.1332499999552965 1715367.9214999999385327, 3152625.3942500101402402 1715367.9247500000055879, 3152623.9052499998360872 1715357.8429999900981784, 3152859.9287499901838601 1715358.1739999901037663, 3152860.0070000002160668 1715324.3160000001080334, 3152861.1450000000186265 1715324.3174999998882413, 3152870.3542499998584390 1715324.3307499999646097, 3152870.4510000101290643 1715255.5062499900814146))",6310,0182513201002,,,Commercial Office Building,,1.56,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11683850.826%2C4836277.872%2C-11683591.608%2C4836430.136&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20250906,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0182513201002-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,140.62,47.55,,,
Adams,7200 QUEBEC PKWY,COMMERCE CITY,CO,80022,"POLYGON ((3168272.0814999900758266 1727342.1812500099185854, 3168273.0352499899454415 1727257.7630000000353903, 3168273.1072500101290643 1727246.8517499999143183, 3168319.2790000000968575 1727248.5349999999161810, 3168330.1320000002160668 1727221.8235000099521130, 3168532.0832500001415610 1727303.8777499899733812, 3168544.7142500001937151 1727272.7897499899845570, 3168549.8634999999776483 1727274.8819999999832362, 3168569.3160000001080334 1727227.0062499900814146, 3168564.8440000000409782 1727225.6969999999273568, 3168578.1892500100657344 1727192.8522499899845570, 3168422.6392500000074506 1727129.6502499999478459, 3168423.3155000098049641 1727127.9665000000968575, 3168456.7094999998807907 1727044.8227500000502914, 3168579.8117499900981784 1727094.5532500001136214, 3168592.6019999999552965 1727063.0732499998994172, 3168594.0537499901838601 1727063.6877500000409782, 3168598.5962499999441206 1727065.6100000001024455, 3168617.9497500099241734 1727017.9722500001080334, 3168612.4810000099241734 1727015.7502500000409782, 3168625.8730000001378357 1726982.7909999899566174, 3168446.6107499999925494 1726909.9555000099353492, 3168444.7794999899342656 1726861.9745000000111759, 3168467.2842500098049641 1726862.1229999999050051, 3168467.6620000000111759 1726804.8379999999888241, 3168454.0139999999664724 1726806.1119999999646097, 3168453.4037500000558794 1726795.1959999899845570, 3168454.8202499998733401 1726757.7820000099018216, 3168466.2707500001415610 1726729.5995000000111759, 3168474.0692500001750886 1726730.5175000000745058, 3168474.0772500000894070 1726728.7727500100154430, 3168474.1899999999441206 1726703.2129999999888241, 3168478.5620000101625919 1726703.2947500098962337, 3168478.6962500098161399 1726683.3432500099297613, 3168473.5257500000298023 1726683.2409999999217689, 3168474.7242499999701977 1726595.2415000100154430, 3168474.7862499998882413 1726590.6844999899622053, 3168472.0157500100322068 1726590.6707500100601465, 3168282.5977499899454415 1726589.7209999999031425, 3168281.5632500099018216 1726589.7157499899622053, 3168280.4660000097937882 1726648.1092499899677932, 3168251.1457500001415610 1726647.2339999999385327, 3168251.0472499998286366 1726662.2369999999646097, 3168180.7870000000111759 1726664.5015000000130385, 3168180.5687499898485839 1726697.2364999901037663, 3168174.4377500000409782 1726696.5132499900646508, 3168174.9837500001303852 1726716.9769999999552965, 3168181.1225000000558794 1726717.0175000000745058, 3168181.1885000001639128 1726810.4510000098962337, 3168192.4222499998286366 1726810.5252499999478459, 3168181.5690000099129975 1726837.2369999999646097, 3168191.2200000002048910 1726840.5250000099185854, 3168210.2877500099129975 1726844.7427499999757856, 3168227.3322499999776483 1726845.5372500000521541, 3168245.0677500101737678 1726844.9722500001080334, 3168264.1764999898150563 1726843.0524999899789691, 3168275.7877500099129975 1726840.4009999900590628, 3168290.8177500101737678 1726836.4080000100657344, 3168286.1252500000409782 1726824.1012499900534749, 3168308.6522500100545585 1726820.8400000000838190, 3168332.5119999898597598 1726822.3610000000335276, 3168346.8289999999105930 1726823.1372500099241734, 3168361.7960000000894070 1726828.6920000000391155, 3168375.3725000000558794 1726838.3292499899398535, 3168386.2117499997839332 1726849.3129999900702387, 3168396.3557499898597598 1726862.3375000099185854, 3168396.7989999898709357 1726898.4860000000335276, 3168344.1712500001303852 1726915.8710000100545585, 3168344.0139999999664724 1726939.7394999999087304, 3168343.8250000001862645 1726968.3722500100266188, 3168311.0589999998919666 1727049.0162500001024455, 3168253.3362500099465251 1727025.5629999900702387, 3168223.5520000001415610 1727005.0990000099409372, 3168205.2497499999590218 1726990.9977500000968575, 3168216.5259999898262322 1726963.2447499900590628, 3168197.7909999899566174 1726955.6324999900534749, 3168177.5337499999441206 1726950.9177500000223517, 3168152.3149999999441206 1726948.7052499901037663, 3168121.6310000000521541 1726947.8209999899845570, 3168102.5407500001601875 1726947.0130000000353903, 3168080.6862499997951090 1726951.6422500000335276, 3168060.2004999998025596 1726955.5990000099409372, 3168070.2097499999217689 1726989.0830000001005828, 3168047.0227500097826123 1726988.9297499998938292, 3168047.6122499997727573 1727106.2380000099074095, 3168068.7492499900981784 1727107.0582500000018626, 3168067.9792499998584390 1727223.6759999999776483, 3168064.5660000001080334 1727224.3337499899789691, 3168065.4019999997690320 1727369.3510000000242144, 3168163.2225000001490116 1727368.6372500099241734, 3168163.3930000099353492 1727342.8230000000912696, 3168272.0814999900758266 1727342.1812500099185854))",36921,0172133301001,,,Commercial School - Elementary/Secondary,,8.60,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11677711.119%2C4840692.621%2C-11677264.083%2C4841221.167&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20251113,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0172133301001-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,154.77,60.19,,,
Adams,5585 E 56TH AVE,COMMERCE CITY,CO,80022,"POLYGON ((3162141.4669999899342656 1716474.5519999999087304, 3162061.6852500000968575 1716475.6067500000353903, 3162061.7629999998025596 1716688.4839999999385327, 3162012.9922500001266599 1716689.7867499999701977, 3162012.9922500001266599 1716722.3379999999888241, 3161529.9192499998025596 1716722.3387500001117587, 3161532.5232500000856817 1716817.3910000000614673, 3162029.9192499998025596 1716814.7867499999701977, 3162027.3149999999441206 1716836.9220000100322068, 3162061.8182500000111759 1716839.5259999900590628, 3162061.9870000001974404 1717302.3145000000949949, 3162141.7702499898150563 1717302.4297499998938292, 3162141.4669999899342656 1716474.5519999999087304))",18611,0182307408006,,,Commercial Transit Warehouse,,5.98,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11680326.282%2C4836678.040%2C-11679851.814%2C4837238.094&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20251113,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0182307408006-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,174.03,47.23,,,
Adams,5101 QUEBEC ST,COMMERCE CITY,CO,80022,"POLYGON ((3167168.8885000101290643 1713232.5362499998882413, 3167307.9080000100657344 1713232.0840000100433826, 3167311.9697500001639128 1713236.1997500099241734, 3167311.0424999999813735 1713273.6772499999497086, 3167318.5382500002160668 1713273.7260000000242144, 3167318.5112499999813735 1713277.8155000100377947, 3167343.7242499999701977 1713277.9805000000633299, 3167344.8637500000186265 1713312.0640000000130385, 3167399.3772499999031425 1713312.4212499998975545, 3167399.9514999999664724 1713328.7820000099018216, 3167462.0100000100210309 1713321.6920000000391155, 3167459.6465000100433826 1713266.4732500000391155, 3167456.2212499999441206 1713269.1769999999087304, 3167466.8719999901950359 1713203.8207499999552965, 3167453.9205000000074506 1713204.4172500099521130, 3167452.2872500000521541 1713141.7067500099074095, 3167366.4322499898262322 1713140.4620000000577420, 3167366.3739999998360872 1713149.3215000000782311, 3167301.6294999998062849 1713150.2602500000502914, 3167302.3689999999478459 1713141.4052500000689179, 3167168.8007499999366701 1713141.8935000000055879, 3167168.8885000101290643 1713232.5362499998882413))",5853,0182317107020,,,Commercial Truck Stop Restaurant,,4.17,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11678027.684%2C4835412.527%2C-11677826.690%2C4835570.095&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20251113,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0182317107020-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,139.78,64.26,,,
Adams,6345 COLORADO BLVD,COMMERCE CITY,CO,80022,"POLYGON ((3156880.8739999998360872 1720895.4622499900870025, 3157052.8700000001117587 1720896.3419999899342656, 3157053.3827499998733401 1720796.0455000000074506, 3157003.1557500101625919 1720795.7882499999832362, 3157003.9239999898709357 1720645.5979999999981374, 3156882.6320000002160668 1720644.9769999999552965, 3156880.8739999998360872 1720895.4622499900870025))",5593,0182512101037,,,Commercial Office Building,,1.16,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11682077.532%2C4838430.371%2C-11681939.589%2C4838599.861&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20251113,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0182512101037-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,160.84,58.01,,,
Adams,5200 E 56TH AVE,COMMERCE CITY,CO,80022,"POLYGON ((3161600.5187499998137355 1715892.0004999900702387, 3161402.7894999999552965 1715890.7290000000502914, 3161404.3450000002048910 1715648.8157500000670552, 3161400.4669999899342656 1715648.7909999899566174, 3161401.2539999899454415 1715526.3817499999422580, 3161307.8424999997951090 1715525.7809999999590218, 3161307.0600000000558794 1715647.4465000000782311, 3161303.1715000001713634 1715647.4214999999385327, 3161303.4784999899566174 1715979.6482500000856817, 3161301.6379999998025596 1715979.6377499999944121, 3161301.2032500100322068 1716023.5875000099185854, 3161321.5545000000856817 1716023.7520000000949949, 3161321.4587499899789691 1716035.5547499998938292, 3161338.0177499898709357 1716035.6890000000130385, 3161336.7362500000745058 1716025.0212499899789691, 3161403.7409999999217689 1716025.0697500000242144, 3161404.3294999999925494 1715991.5160000000614673, 3161601.8714999998919666 1715992.8549999999813735, 3161601.9330000001937151 1715985.3117499900981784, 3161608.2039999999105930 1715985.3617500099353492, 3161608.1605000002309680 1715900.3810000000521541, 3161600.4649999998509884 1715900.3314999900758266, 3161600.5187499998137355 1715892.0004999900702387))",11021,0182318106004,,,Commercial Service Garge,,2.64,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11680374.455%2C4836347.129%2C-11680110.855%2C4836691.773&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20251113,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0182318106004-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,163.33,54.14,,,
Adams,5075 HIGHWAY 224,COMMERCE CITY,CO,80022,"POLYGON ((3160357.5100000100210309 1728880.3274999998975545, 3160398.4257499999366701 1728880.5077500001061708, 3160398.5127500002272427 1728860.8577499999664724, 3160479.7277500000782311 1728861.2160000100266188, 3160480.0879999999888241 1728779.5400000100489706, 3160521.1952499998733401 1728779.7214999899733812, 3160521.8100000000558794 1728640.3384999900590628, 3160480.4559999997727573 1728640.1562500000000000, 3160480.9147499902173877 1728536.1674999999813735, 3160472.5039999899454415 1728536.1302500099409372, 3160472.5600000000558794 1728523.4697499999310821, 3160425.8652500100433826 1728523.2635000098962337, 3160425.8129999898374081 1728535.1455000001005828, 3160422.7485000002197921 1728535.7382499999366701, 3160422.8342499998398125 1728516.3257499900646508, 3160359.1175000099465251 1728516.0444999900646508, 3160357.5100000100210309 1728880.3274999998975545))",7579,0172131403004,,,Commercial Storage Warehouse,,2.18,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11680696.203%2C4841537.576%2C-11680529.797%2C4841784.096&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20251113,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0172131403004-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,146.76,58.23,,,
Adams,4451 E 72ND AVE,COMMERCE CITY,CO,80022,"POLYGON ((3158866.3394999997690320 1726909.7567499999422580, 3158865.9687500000000000 1727015.1852500000968575, 3158943.4550000000745058 1727015.4575000000186265, 3158944.3335000001825392 1726765.4144999999552965, 3158866.8610000000335276 1726765.1419999999925494, 3158866.3895000098273158 1726899.2290000000502914, 3158805.4755000001750886 1726913.4609999998938292, 3158769.7085000001825392 1726764.7720000001136214, 3158719.6924999998882413 1726776.6910000001080334, 3158723.9969999901950359 1726794.7240000099409372, 3158698.4684999999590218 1726802.3792499999981374, 3158727.9772499902173877 1726919.4335000100545585, 3158605.6504999999888241 1726949.9295000000856817, 3158597.8620000001974404 1726945.8024999899789691, 3158592.3907500100322068 1726924.1949999900534749, 3158646.6680000000633299 1726909.9242500099353492, 3158638.0444999900646508 1726876.2362500000745058, 3158613.5470000100322068 1726882.0290000000968575, 3158600.1345000001601875 1726826.2282499999273568, 3158562.0262500001117587 1726835.3355000000447035, 3158554.3947499999776483 1726806.0685000000521541, 3158465.2489999998360872 1726827.4267500001005828, 3158465.9095000000670552 1726830.4884999999776483, 3158423.5470000100322068 1726840.9267500001005828, 3158443.9257499999366701 1726923.7802500000689179, 3158446.4792499998584390 1726922.9469999999273568, 3158451.9654999999329448 1726942.1759999999776483, 3158480.0362499998882413 1726935.3865000000223517, 3158484.0200000000186265 1726950.3600000001024455, 3158512.6047500101849437 1726942.8937500000465661, 3158516.9387500002048910 1726956.1705000000074506, 3158586.0115000000223517 1726939.2737500099465251, 3158592.3257499900646508 1726961.9059999999590218, 3158574.2882500002160668 1726966.8897500000894070, 3158575.9490000000223517 1726973.0152499999385327, 3158562.6749999998137355 1726977.0115000000223517, 3158560.5207500001415610 1726968.1629999999422580, 3158542.5740000000223517 1726971.9402499899733812, 3158542.5685000000521541 1726973.5062499900814146, 3158515.6042499998584390 1726979.6042500000912696, 3158525.2240000101737678 1727017.0357500000391155, 3158446.2872500000521541 1727035.7392500001005828, 3158465.2582499999552965 1727112.4580000001005828, 3158443.3552500000223517 1727117.8659999999217689, 3158448.7042499901726842 1727141.0224999899510294, 3158534.6252500000409782 1727120.0730000000912696, 3158533.0709999902173877 1727113.9167500000912696, 3158691.6425000000745058 1727075.3240000000223517, 3158673.9314999999478459 1727000.8297500000335276, 3158669.8872500099241734 1726983.8185000000521541, 3158739.4070000099018216 1726966.2190000000409782, 3158760.6104999901726842 1727052.9847500000614673, 3158781.3632499999366701 1727048.3577499999664724, 3158785.6807499998249114 1727064.3525000100489706, 3158767.6412499998696148 1727069.6759999999776483, 3158775.6022499902173877 1727100.6417499899398535, 3158843.1400000001303852 1727084.7547500000800937, 3158836.2010000101290643 1727053.2854999999981374, 3158816.1274999999441206 1727057.9169999998994172, 3158813.1702499999664724 1727041.7610000099521130, 3158835.6327499998733401 1727035.4457499999552965, 3158807.2797500002197921 1726923.8345000001136214, 3158866.3394999997690320 1726909.7567499999422580))",15491,0172131311001,,,Commercial School - Elementary/Secondary,,2.12,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11681489.015%2C4840823.025%2C-11681137.990%2C4841118.249&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20251113,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0172131311001-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,138.81,64.65,,,
Adams,4201 E 72ND AVE,COMMERCE CITY,CO,80022,"POLYGON ((3157895.8450000002048910 1727410.7447499900590628, 3157838.7577499998733401 1727235.3789999899454415, 3157875.3490000101737678 1727223.4672499999869615, 3157853.1932500000111759 1727155.4062500000000000, 3157815.1729999901726842 1727167.7827500000130385, 3157762.2340000001713634 1727005.1562500000000000, 3157697.5470000100322068 1727026.2134999900590628, 3157663.0575000001117587 1726920.2635000098962337, 3157636.5159999998286366 1726928.9037500000558794, 3157620.3457499998621643 1726941.8294999999925494, 3157610.0312500000000000 1726956.0827499900478870, 3157601.7577499998733401 1726971.0309999999590218, 3157597.5915000000968575 1726983.2770000000018626, 3157595.4112499998882413 1727005.0802499901037663, 3157597.3509999997913837 1727022.1369999900925905, 3157677.1042499998584390 1727267.1360000099521130, 3157681.3577499999664724 1727265.7522499999031425, 3157707.3799999998882413 1727257.2885000000242144, 3157724.1379999998025596 1727308.7680000099353492, 3157739.9427500101737678 1727335.2767499999608845, 3157763.6427499898709357 1727361.3312500000465661, 3157794.1767500001005828 1727384.7007499900646508, 3157827.5919999899342656 1727400.5949999999720603, 3157836.4640000001527369 1727402.7302500000223517, 3157867.2512500002048910 1727410.1407500100322068, 3157895.8450000002048910 1727410.7447499900590628))",10856,0172131300018,,,Commercial Government Building,,2.08,,,,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11681812.666%2C4840891.965%2C-11681556.384%2C4841222.776&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,20251113,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Adams/aerial_imagery/world_imagery/0172131300018-world_imagery-ai-crop.jpg,ok,,FALSE,1024,1024,110.78,54.69,,,
