Address,Building City,Building State,Building ZIP,Building Footprint,Building Footprint Sq Ft,Parcel Number,Year Built,Effective Year Built,Property Use,Stories,Land Area,Construction Type,Tax District,Land Value,Primary Aerial Source,Primary Aerial Image URL,Primary Aerial Photo Date,Primary Aerial Image File,Denver GIS Aerial Image URL,Denver GIS Aerial Photo Date,Denver GIS Aerial Image File
9800 E IKEA WAY,CENTENNIAL,CO,80112,"POLYGON ((3176353.5444993209093809 1634081.4965006494894624, 3176353.6494993218220770 1634057.4670006388332695, 3176354.1179993259720504 1633950.2445006424095482, 3176354.9764993311837316 1633753.8850006507709622, 3176384.8554993309080601 1633754.0160006531514227, 3176385.2504993253387511 1633663.6450006472878158, 3176385.3909993297420442 1633631.5460006454959512, 3176324.2629993245936930 1633631.2790006406139582, 3176295.0284993345849216 1633631.1510006338357925, 3176295.0974993258714676 1633615.3675006567500532, 3176295.1699993317015469 1633598.8020006462465972, 3176295.6779993302188814 1633482.5830006392206997, 3176295.6809993204660714 1633481.8830006537027657, 3176223.5874993298202753 1633481.5675006469246000, 3176187.5434993365779519 1633481.4100006441585720, 3176103.9864993277005851 1633481.0450006481260061, 3176066.9874993269331753 1633480.8830006429925561, 3176027.7734993258491158 1633480.7115006502717733, 3175983.5619993340224028 1633480.5185006451793015, 3175982.9959993329830468 1633609.9935006485320628, 3175982.9064993211068213 1633630.3755006447900087, 3175946.3204993386752903 1633630.2150006557349116, 3175943.5984993269667029 1633630.2035006445366889, 3175943.4139993288554251 1633672.4475006535649300, 3175943.3484993251040578 1633687.5090006471145898, 3175943.0484993336722255 1633756.0940006417222321, 3175941.5929993246681988 1634089.0235006487928331, 3175941.4994993330910802 1634110.4585006444249302, 3175941.3294993322342634 1634149.4650006492156535, 3175941.2869993331842124 1634158.9860006547532976, 3175994.5454993252642453 1634159.2190006368327886, 3176018.8419993189163506 1634159.3255006342660636, 3176064.6344993151724339 1634159.5260006461758167, 3176100.5674993223510683 1634159.6830006476957351, 3176131.2589993318542838 1634159.8170006575528532, 3176180.6794993244111538 1634160.0330006480216980, 3176209.0529993283562362 1634160.1565006370656192, 3176320.7779993214644492 1634160.6455006448086351, 3176353.1979993246495724 1634160.7870006526354700, 3176353.5444993209093809 1634081.4965006494894624))",268284,207534436001,,,Merchandising 2212              Commercial,,13.65,Commercial,,5945130.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3175703.193%2C1633242.425%2C3176623.485%2C1634398.881&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
1  DIGICOMM DR,ENGLEWOOD,CO,80112,"POLYGON ((3193249.6779993339441717 1634311.9995006648823619, 3193251.5594993201084435 1633898.5460006515495479, 3193251.8004993335343897 1633845.5715006496757269, 3193252.2364993253722787 1633749.8465006379410625, 3193252.2724993200972676 1633741.7655006449203938, 3193256.3939993199892342 1633741.7845006538555026, 3193256.6474993219599128 1633685.9555006683804095, 3193200.5399993397295475 1633685.7005006452091038, 3193200.5149993235245347 1633691.0860006522852927, 3192967.2159993331879377 1633690.0240006386302412, 3192967.1894993316382170 1633695.7405006554909050, 3192948.4184993347153068 1633695.6555006427224725, 3192933.5514993164688349 1633695.5870006417389959, 3192933.4579993318766356 1633716.1335006430745125, 3192935.0074993264861405 1633716.1410006380174309, 3192934.9229993219487369 1633734.6935006487183273, 3192934.8889993266202509 1633742.1455006424803287, 3192932.3644993277266622 1633742.1340006436221302, 3192932.3544993270188570 1633744.2945006387308240, 3192922.6114993221126497 1633741.9685006448999047, 3192919.9004993191920221 1633753.3225006628781557, 3192932.2999993204139173 1633756.2830006547737867, 3192932.2514993203803897 1633766.9075006362982094, 3192931.6509993202053010 1633898.7220006436109543, 3192931.5859993249177933 1633912.9685006474610418, 3192931.5064993342384696 1633930.4940006427932531, 3192929.7704993342049420 1634311.9995006588287652, 3192929.4024993311613798 1634392.8090006562415510, 3192929.2859993213787675 1634418.3485006473492831, 3192926.9089993196539581 1634418.3380006419029087, 3192926.6509993229992688 1634475.0190006413031369, 3192983.8524993425235152 1634475.2795006418600678, 3192983.8699993309564888 1634471.3680006484501064, 3193199.3334993263706565 1634472.3490006532520056, 3193199.3219993207603693 1634474.8950006386730820, 3193256.6049993331544101 1634475.1555006483104080, 3193256.8619993310421705 1634418.6530006350949407, 3193249.1924993237480521 1634418.6180006556678563, 3193249.3064993303269148 1634393.5740006491541862, 3193249.6779993339441717 1634311.9995006648823619))",251197,207331406002,,,Warehouse/Storage 2235              Commercial,,16.41,Commercial,,2501870.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3192643.548%2C1633409.348%2C3193533.215%2C1634751.632&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
10900 E BRIARWOOD AVE,CENTENNIAL,CO,80112,"POLYGON ((3179563.5709993247874081 1640769.7750006541609764, 3179563.3684993213973939 1640789.9375006416812539, 3179607.8434993322007358 1640790.3840006506070495, 3179660.4369993363507092 1640790.9110006424598396, 3179660.2049993271939456 1640814.0930006445851177, 3179660.1594993397593498 1640818.5930006436537951, 3179710.4659993345849216 1640819.0970006471034139, 3179718.5779993217438459 1640819.1780006466433406, 3179718.6664993269369006 1640810.3535006300080568, 3179747.7654993194155395 1640810.6450006486847997, 3179747.9574993276037276 1640791.5240006558597088, 3179774.2759993225336075 1640791.7880006500054151, 3179876.0214993357658386 1640792.8075006525032222, 3179886.8904993277974427 1640792.9165006412658840, 3179886.6979993232525885 1640812.0850006486289203, 3179909.7509993305429816 1640812.3160006501711905, 3179909.6669993326067924 1640820.6890006386674941, 3179913.5599993355572224 1640820.7280006529763341, 3179965.1814993303269148 1640821.2455006451345980, 3179965.2289993334561586 1640816.5475006494671106, 3179965.4624993358738720 1640793.2220006498973817, 3179979.8029993376694620 1640793.3660006488207728, 3179980.1049993317574263 1640763.2530006507877260, 3180004.4339993274770677 1640763.4970006486400962, 3180117.7434993255883455 1640764.6325006303377450, 3180117.2269993275403976 1640816.1505006481893361, 3180197.2999993250705302 1640816.9530006330460310, 3180197.6444993312470615 1640782.5720006430055946, 3180160.0059993294999003 1640782.1950006345286965, 3180161.5704993344843388 1640626.0230006421916187, 3180154.8229993251152337 1640625.9550006482750177, 3180154.9714993219822645 1640611.0725006454158574, 3180155.3899993305094540 1640569.3225006570573896, 3180162.7984993313439190 1640569.4190006442368031, 3180163.2429993287660182 1640535.2070006588473916, 3180155.7334993327967823 1640535.1100006427150220, 3180157.0689993388950825 1640401.8090006357524544, 3180120.7329993238672614 1640401.4455006527714431, 3180120.2269993261434138 1640451.9215006472077221, 3179861.6759993312880397 1640449.3300006429199129, 3179862.2284993245266378 1640394.2265006562229246, 3179716.7349993265233934 1640392.7680006455630064, 3179716.1814993331208825 1640447.9490006503183395, 3179566.8114993264898658 1640446.4520006633829325, 3179563.9364993330091238 1640733.2920006474014372, 3179563.5709993247874081 1640769.7750006541609764))",215872,207526210001,,,Merchandising 2212              Commercial,,24.46,Commercial,,11358528.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3179341.372%2C1640170.771%2C3180419.641%2C1641043.242&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
9401 E ARAPAHOE RD,GREENWOODVILLAGE,CO,80112,"POLYGON ((3175280.4314993298612535 1643294.5430006391834468, 3175282.2419993313960731 1642963.8535006383899599, 3175267.7424993435852230 1642963.7740006488747895, 3175267.7094993311911821 1642969.7380006511230022, 3175219.5234993272460997 1642969.4745006461162120, 3175219.5199993248097599 1642970.1110006524249911, 3175211.5539993313141167 1642970.0670006468426436, 3175184.5309993326663971 1642969.9190006467979401, 3175184.4579993286170065 1642983.3265006488654763, 3175184.4079993353225291 1642992.4555006471928209, 3175056.8769993283785880 1642991.7570006442256272, 3175057.0469993343576789 1642960.6805006372742355, 3175042.5469993376173079 1642960.6005006555933505, 3174952.2769993287511170 1642960.1065006442368031, 3174873.0579993254505098 1642959.6730006379075348, 3174873.0924993264488876 1642953.3745006565004587, 3174873.1129993363283575 1642949.5700006342958659, 3174870.3529993304982781 1642949.5550006509292871, 3174790.7434993218630552 1642949.1190006567630917, 3174787.9514993308112025 1642949.1035006353631616, 3174787.8994993260130286 1642958.6555006466805935, 3174787.8569993218407035 1642966.3835006440058351, 3174743.5694993282668293 1642966.1415006418246776, 3174743.4469993272796273 1642988.4125006350222975, 3174735.8854993316344917 1642988.3710006540641189, 3174718.4094993369653821 1642988.2755006388761103, 3174718.4054993218742311 1642988.9960006400942802, 3174718.3984993277117610 1642990.2635006569325924, 3174718.1774993278086185 1643030.6595006608404219, 3174687.5474993279203773 1643030.4920006417669356, 3174686.1184993223287165 1643291.6085006496869028, 3174764.3069993280805647 1643292.0365006539504975, 3174956.5854993271641433 1643293.0890006523113698, 3174956.3774993265978992 1643331.0975006425287575, 3175036.4674993329681456 1643331.5365006506908685, 3175036.6774993184953928 1643293.2090006507933140, 3175280.4314993298612535 1643294.5430006391834468))",193782,207522338001,,,Merchandising 2212              Commercial,,12.20,Commercial,,5314570.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3174477.475%2C1642740.460%2C3175490.885%2C1643540.180&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
9535 E COUNTY LINE RD,CENTENNIAL,CO,80112,"POLYGON ((3175914.7184993312694132 1633086.3770006489939988, 3175914.1199993337504566 1633321.2585006461013108, 3175930.4544993303716183 1633321.3000006421934813, 3175930.4424993223510683 1633325.9675006452016532, 3175946.4409993281587958 1633326.0085006463341415, 3175946.4524993249215186 1633321.3410006493795663, 3176218.0364993405528367 1633322.0340006384067237, 3176218.0254993289709091 1633326.2575006387196481, 3176233.6904993318021297 1633326.2970006512477994, 3176233.7014993266202509 1633322.0735006446484476, 3176250.5794993345625699 1633322.1170006459578872, 3176250.6269993297755718 1633303.5945006539113820, 3176255.6699993317015469 1633303.6075006474275142, 3176255.7114993277937174 1633287.2040006329771131, 3176251.6219993224367499 1633287.1935006366111338, 3176251.6714993249624968 1633257.0085006437730044, 3176259.1619993369095027 1633257.0210006390698254, 3176259.1599993226118386 1633258.3050006492994726, 3176264.5459993327967823 1633258.3140006386674941, 3176264.5544993258081377 1633252.7540006341878325, 3176262.3244993276894093 1633252.7505006405990571, 3176262.3389993314631283 1633244.2655006432905793, 3176251.6924993209540844 1633244.2300006533041596, 3176250.4349993309006095 1633244.2255006509367377, 3176250.5939993211068213 1633196.6455006485339254, 3176262.2024993300437927 1633196.6840006432030350, 3176262.2239993358962238 1633188.1835006549954414, 3176264.1739993225783110 1633188.1885006495285779, 3176264.1884993296116590 1633182.7505006457213312, 3176259.6274993219412863 1633182.7390006345231086, 3176259.6244993293657899 1633183.9010006412863731, 3176251.7914993301965296 1633183.8810006449930370, 3176251.8379993261769414 1633155.6535006563644856, 3176265.7409993270412087 1633155.6885006420779973, 3176265.9139993335120380 1633087.7740006551612169, 3176256.6559993289411068 1633087.7505006499122828, 3176256.7869993303902447 1633036.4890006468631327, 3176264.8974993210285902 1633036.5100006577558815, 3176265.0304993181489408 1632984.3750006500631571, 3176256.8239993271417916 1632984.3540006543044001, 3176256.9499993296340108 1632934.8670006454922259, 3176251.3319993270561099 1632934.8525006542913616, 3176252.1489993366412818 1632711.2060006486717612, 3176252.1414993237704039 1632708.3150006511714309, 3176230.4469993221573532 1632686.1050006551668048, 3176227.7549993223510683 1632686.1115006322506815, 3176092.0644993339665234 1632686.4430006463080645, 3176092.0769993383437395 1632691.4235006466042250, 3176076.2954993252642453 1632691.4620006473269314, 3175958.0899993334896863 1632691.7510006474331021, 3175953.8349993256852031 1632691.7610006579197943, 3175953.8484993260353804 1632697.2055006599985063, 3175954.0309993294067681 1632771.9175006616860628, 3175987.5974993240088224 1632771.8355006414931267, 3175987.8329993356019258 1632868.3485006466507912, 3176001.4024993279017508 1632868.3150006374344230, 3176016.5684993206523359 1632853.7135006475728005, 3176041.4639993328601122 1632878.1335006339941174, 3176049.9469993240199983 1632869.3235006483737379, 3176085.6959993224591017 1632903.8985006369184703, 3176085.7704993323422968 1632934.4825006453320384, 3176096.2204993395134807 1632934.5055006432812661, 3176097.3084993311204016 1633030.2835006436798722, 3176040.5969993299804628 1633086.6980006364174187, 3175914.7184993312694132 1633086.3770006489939988))",168537,207534323002,,,Merchandising 2212              Commercial,,34.39,Commercial,,29980160.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3175690.053%2C1632462.038%2C3176489.981%2C1633550.364&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
14251 E OTERO AVE,ENGLEWOOD,CO,80112,"POLYGON ((3190892.2539993221871555 1633370.4480006422381848, 3190892.2799993287771940 1633245.7250006413087249, 3190892.3989993357099593 1632678.5040006407070905, 3190892.4074993273243308 1632639.5475006508640945, 3190703.6714993310160935 1632639.5075006308034062, 3190703.6704993173480034 1632644.3585006543435156, 3190679.9674993245862424 1632644.3540006428956985, 3190679.9484993363730609 1632736.5755006417166442, 3190691.8879993264563382 1632736.5780006418935955, 3190691.8644993244670331 1632849.6105006409343332, 3190680.3784993248991668 1632849.6080006374977529, 3190680.3564993268810213 1632953.6110006512608379, 3190691.8264993219636381 1632953.6135006486438215, 3190691.8044993253424764 1633057.7030006393324584, 3190680.1114993221126497 1633057.7005006389226764, 3190680.0899993325583637 1633162.0230006515048444, 3190691.9419993287883699 1633162.0255006519146264, 3190691.9184993342496455 1633275.4160006502643228, 3190679.8929993347264826 1633275.4135006528813392, 3190679.8739993218332529 1633366.2565006595104933, 3190704.3124993327073753 1633366.2620006399229169, 3190704.3119993335567415 1633370.4085006390232593, 3190892.2539993221871555 1633370.4480006422381848))",151018,207331324001,,,Warehouse/Storage 2235              Commercial,,12.18,Commercial,,3714676.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3190424.045%2C1632383.678%2C3191148.237%2C1633626.277&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
14101 E OTERO AVE,ENGLEWOOD,CO,80112,"POLYGON ((3190235.2234993311576545 1633314.9860006426461041, 3190235.4334993376396596 1633509.4985006405040622, 3190402.9249993227422237 1633509.8225006477441639, 3190402.9349993267096579 1633504.7155006383545697, 3190425.5739993266761303 1633504.7595006409101188, 3190425.7344993287697434 1633421.6975006482098252, 3190414.0174993248656392 1633421.6745006595738232, 3190414.2199993287213147 1633316.9965006511192769, 3190426.8834993266500533 1633317.0210006495472044, 3190427.1829993277788162 1633162.1720006600953639, 3190426.6434993245638907 1633162.1710006513167173, 3190413.8514993330463767 1633162.1460006453562528, 3190414.0539993350394070 1633057.4810006548650563, 3190426.7254993310198188 1633057.5055006532929838, 3190427.0254993317648768 1632902.1605006472673267, 3190413.6294993315823376 1632902.1345006481278688, 3190413.8309993292205036 1632797.8605006434954703, 3190426.6384993302635849 1632797.8850006482098252, 3190426.8004993349313736 1632714.1385006485506892, 3190402.2589993346482515 1632714.0910006552003324, 3190402.2674993239343166 1632709.8760006490629166, 3190234.5689993351697922 1632709.5515006405767053, 3190235.1014993288554251 1633202.1260006572119892, 3190235.2234993311576545 1633314.9860006426461041))",149114,207331322005,,,Warehouse/Storage 2235              Commercial,,10.73,Commercial,,2617093.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3189954.474%2C1632429.457%2C3190707.278%2C1633789.917&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
6951 S BLACKHAWK ST  Unit 600,CENTENNIAL,CO,80112,"POLYGON ((3189710.4574993234127760 1640743.8865006437990814, 3189710.4304993306286633 1640694.4090006439946592, 3189705.4694993370212615 1640694.4115006565116346, 3189705.4419993287883699 1640644.2320006384979934, 3189711.5489993253722787 1640644.2285006388556212, 3189711.4929993338882923 1640541.8210006440058351, 3189705.4659993327222764 1640541.8245006406214088, 3189705.4414993221871555 1640497.3380006528459489, 3189709.5874993293546140 1640497.3355006463825703, 3189709.5314993257634342 1640394.3195006498135626, 3189704.4639993300661445 1640394.3225006514694542, 3189704.4369993363507092 1640344.7240006597712636, 3189709.4284993270412087 1640344.7215006409678608, 3189709.3724993290379643 1640241.7390006384812295, 3189704.4739993396215141 1640241.7415006570518017, 3189704.4499993366189301 1640197.5325006397906691, 3189709.1439993227832019 1640197.5300006396137178, 3189709.0884993202053010 1640095.3725006489548832, 3189703.1824993323534727 1640095.3760006579104811, 3189703.1544993226416409 1640044.6280006549786776, 3189708.0349993254058063 1640044.6255006394349039, 3189708.0079993288964033 1639995.4990006363950670, 3189511.2799993315711617 1639995.6060006597544998, 3189511.6869993358850479 1640743.9945006421767175, 3189710.4574993234127760 1640743.8865006437990814))",147154,207330215001,,,Warehouse/Storage 2235              Industrial,,10.83,Industrial,,3302915.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3189249.307%2C1639733.526%2C3189973.522%2C1641005.968&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
7901 S POTOMAC ST,ENGLEWOOD,CO,80112,"POLYGON ((3188879.9844993329606950 1634473.7750006509013474, 3188911.9999993289820850 1634568.3800006441306323, 3188946.3449993249960244 1634669.8695006426423788, 3189073.6669993279501796 1634626.7825006428174675, 3189145.4604993294924498 1634602.4865006406325847, 3189145.0644993339665234 1634601.3170006514992565, 3189082.4264993220567703 1634416.2220006475690752, 3189047.1569993332959712 1634312.0000006447080523, 3188921.4694993318989873 1633940.5935006495565176, 3188911.9999993252567947 1633943.7980006365105510, 3188861.5024993256665766 1633960.8870006361976266, 3188861.3369993260130286 1633960.3985006420407444, 3188795.1449993248097599 1633982.7985006505623460, 3188794.7629993231967092 1633981.6695006396621466, 3188721.8064993298612535 1634006.3585006543435156, 3188825.2384993270970881 1634312.0000006507616490, 3188848.1939993323758245 1634379.8340006549842656, 3188879.9844993329606950 1634473.7750006509013474))",147054,207536406001,,,Warehouse/Storage 2235              Commercial,,16.53,Commercial,,3805195.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3188466.560%2C1633685.347%2C3189400.707%2C1634925.116&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
14353 E OTERO AVE,ENGLEWOOD,CO,80112,"POLYGON ((3191324.2644993267022073 1632927.0505006599705666, 3191414.6294993306510150 1633161.1325006398838013, 3191551.9999993233941495 1633108.1015006522648036, 3191609.2854993320070207 1633085.9870006472337991, 3191601.3669993351213634 1633065.4740006548818201, 3191551.9999993257224560 1632937.5945006492547691, 3191374.5489993230439723 1632477.9245006546843797, 3191179.8924993257969618 1632553.0695006430614740, 3191297.9949993281625211 1632859.0025006490759552, 3191324.2644993267022073 1632927.0505006599705666))",136003,207331324002,,,Warehouse/Storage 2235              Commercial,,12.09,Commercial,,3688755.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3190940.770%2C1632238.802%2C3191848.408%2C1633400.255&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
